# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 2203647     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Hebrew word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
65	אָבֵל מְחוֹלָה	ʼÂbêl Mᵉchôwlâh	aw-bale' mekh-o-law'	x-pn	Proper Name Location	Abel-Mecholah, a place in Palestine; Abel-meholah.; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל) and <a href='/Strongs/strongs-h4246' onclick='return ABMM("/Strongs","/strongs-h4246");'>h4246</a> (מְחֹלָה)xlit mᵉchôwlâh corrected to mᵉchôlâh; meadow of dancing
66	אַבֵל מַיִם	ʼAbêl Mayim	aw-bale' mah'-yim	x-pn	Proper Name Location	Abel-Majim, a place in Palestine; Abel-maim.; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל) and <a href='/Strongs/strongs-h4325' onclick='return ABMM("/Strongs","/strongs-h4325");'>h4325</a> (מַיִם); meadow of water
67	אָבֵל מִצְרַיִם	ʼÂbêl Mitsrayim	aw-bale' mits-rah'-yim	x-pn	Proper Name Location	Abel-Mitsrajim, a place in Palestine; Abel-mizraim.; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל) and <a href='/Strongs/strongs-h4714' onclick='return ABMM("/Strongs","/strongs-h4714");'>h4714</a> (מִצְרַיִם); meadow of Egypt
68	אֶבֶן	ʼeben	eh'-ben	heb	Noun Feminine	a stone; [phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s).; from the root of <a href='/Strongs/strongs-h1129' onclick='return ABMM("/Strongs","/strongs-h1129");'>h1129</a> (בָּנָה) through the meaning to build
69	אֶבֶן	ʼeben	eh'-ben	arc	Noun Feminine	{a stone}; stone.; (Aramaic) corresponding to <a href='/Strongs/strongs-h68' onclick='return ABMM("/Strongs","/strongs-h68");'>h68</a> (אֶבֶן)
70	אֹבֶן	ʼôben	o' ben	heb	Noun Masculine	a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between); wheel, stool.; from the same as <a href='/Strongs/strongs-h68' onclick='return ABMM("/Strongs","/strongs-h68");'>h68</a> (אֶבֶן)
71	אֲבָנָה	ʼĂbânâh	ab-aw-naw'	x-pn	Noun	Abanah, a river near Damascus; Abana.; perhaps feminine of <a href='/Strongs/strongs-h68' onclick='return ABMM("/Strongs","/strongs-h68");'>h68</a> (אֶבֶן); stony;  Compare <a href='/Strongs/strongs-h549' onclick='return ABMM("/Strongs","/strongs-h549");'>h549</a> (אֲמָנָה).
72	אֶבֶן הָעֵזֶר	ʼEben hâ-ʻÊzer	eh'-ben haw-e'-zer	x-pn	Noun	Eben-ha-Ezer, a place in Palestine; Ebenezer.; from <a href='/Strongs/strongs-h68' onclick='return ABMM("/Strongs","/strongs-h68");'>h68</a> (אֶבֶן) and <a href='/Strongs/strongs-h5828' onclick='return ABMM("/Strongs","/strongs-h5828");'>h5828</a> (עֵזֶר) with the article inserted; stone of the help
73	אַבְנֵט	ʼabnêṭ	ab-nate'	heb	Noun Masculine	a belt; girdle.; of uncertain derivation
74	אַבְנֵר	ʼAbnêr	ab-nare'	x-pn	Proper Name Masculine	Abner, an Israelite; Abner.; or (fully) אֲבִינֵר ; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h5216' onclick='return ABMM("/Strongs","/strongs-h5216");'>h5216</a> (נִיר); father of light (i.e. enlightening)
