# File Name: Greek_Lexicon_Strongs.txt
# File Size: 1571461     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Greek
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Greek word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
61	ἄγρα	ágra	ag'-rah	greek	Noun Feminine	(abstractly) a catching (of fish); also (concretely) a haul (of fish); draught; from <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω)
62	ἀγράμματος	agrámmatos	ag-ram-mat-os	greek	Adjective	unlettered, i.e. illiterate; unlearned; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle) and <a href='/Strongs/strongs-g1121' onclick='return ABMM("/Strongs","/strongs-g1121");'>g1121</a> (γράμμα)
63	ἀγραυλέω	agrauléō	ag-row-leh'-o	greek	Verb	to camp out; abide in the field; from <a href='/Strongs/strongs-g68' onclick='return ABMM("/Strongs","/strongs-g68");'>g68</a> (ἀγρός) and <a href='/Strongs/strongs-g832' onclick='return ABMM("/Strongs","/strongs-g832");'>g832</a> (αὐλέω) (in the sense of <a href='/Strongs/strongs-g833' onclick='return ABMM("/Strongs","/strongs-g833");'>g833</a> (αὐλή))
64	ἀγρεύω	agreúō	ag-rew'-o	greek	Verb	to hunt, i.e. (figuratively) to entrap; catch; from <a href='/Strongs/strongs-g61' onclick='return ABMM("/Strongs","/strongs-g61");'>g61</a> (ἄγρα)
65	ἀγριέλαιος	agriélaios	ag-ree-el'-ah-yos	greek	Adjective	an oleaster; olive tree (which is) wild; from <a href='/Strongs/strongs-g66' onclick='return ABMM("/Strongs","/strongs-g66");'>g66</a> (ἄγριος) and <a href='/Strongs/strongs-g1636' onclick='return ABMM("/Strongs","/strongs-g1636");'>g1636</a> (ἐλαία)
66	ἄγριος	ágrios	ag'-ree-os	greek	Adjective	wild (as pertaining to the country), literally (natural) or figuratively (fierce); wild, raging; from <a href='/Strongs/strongs-g68' onclick='return ABMM("/Strongs","/strongs-g68");'>g68</a> (ἀγρός)
67	Ἀγρίππας	Agríppas	ag-rip'-pas	greek	Noun Masculine	wild-horse tamer; Agrippas, one of the Herods; Agrippa; apparently from <a href='/Strongs/strongs-g66' onclick='return ABMM("/Strongs","/strongs-g66");'>g66</a> (ἄγριος) and <a href='/Strongs/strongs-g2462' onclick='return ABMM("/Strongs","/strongs-g2462");'>g2462</a> (ἵππος)
68	ἀγρός	agrós	ag-ros'	greek	Noun Masculine	a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet; country, farm, piece of ground, land; from <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω)
69	ἀγρυπνέω	agrypnéō	ag-roop-neh'-o	greek	Verb	to be sleepless, i.e. keep awake; watch; ultimately from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle) and <a href='/Strongs/strongs-g5258' onclick='return ABMM("/Strongs","/strongs-g5258");'>g5258</a> (ὕπνος)
70	ἀγρυπνία	agrypnía	ag-roop-nee'-ah	greek	Noun Feminine	sleeplessness, i.e. a keeping awake; watch; from <a href='/Strongs/strongs-g69' onclick='return ABMM("/Strongs","/strongs-g69");'>g69</a> (ἀγρυπνέω)
